record_id,amount_inr,failure_reason,attempts,dataset
synth_0001,7999,bank_timeout,0,seeded_demo_only
synth_0002,499,card_declined,0,seeded_demo_only
synth_0003,1499,network_error,0,seeded_demo_only
synth_0004,999,network_error,0,seeded_demo_only
synth_0005,7999,bank_timeout,0,seeded_demo_only
synth_0006,7999,card_declined,0,seeded_demo_only
synth_0007,4999,bank_timeout,0,seeded_demo_only
synth_0008,4999,issuer_unavailable,0,seeded_demo_only
synth_0009,499,bank_timeout,0,seeded_demo_only
synth_0010,499,network_error,0,seeded_demo_only
synth_0011,999,insufficient_funds,0,seeded_demo_only
synth_0012,4999,bank_timeout,0,seeded_demo_only
synth_0013,4999,network_error,0,seeded_demo_only
synth_0014,7999,card_declined,0,seeded_demo_only
synth_0015,7999,insufficient_funds,0,seeded_demo_only
synth_0016,2499,network_error,0,seeded_demo_only
synth_0017,2499,insufficient_funds,0,seeded_demo_only
synth_0018,1499,unknown,0,seeded_demo_only
synth_0019,12999,bank_timeout,0,seeded_demo_only
synth_0020,12999,unknown,0,seeded_demo_only
synth_0021,999,card_declined,0,seeded_demo_only
synth_0022,2499,otp_expired,0,seeded_demo_only
synth_0023,1499,network_error,0,seeded_demo_only
synth_0024,999,unknown,0,seeded_demo_only
synth_0025,1499,bank_timeout,0,seeded_demo_only
synth_0026,499,issuer_unavailable,0,seeded_demo_only
synth_0027,499,otp_expired,0,seeded_demo_only
synth_0028,12999,otp_expired,0,seeded_demo_only
synth_0029,4999,otp_expired,0,seeded_demo_only
synth_0030,12999,bank_timeout,0,seeded_demo_only
synth_0031,7999,issuer_unavailable,0,seeded_demo_only
synth_0032,4999,bank_timeout,0,seeded_demo_only
synth_0033,2499,bank_timeout,0,seeded_demo_only
synth_0034,4999,otp_expired,0,seeded_demo_only
synth_0035,12999,card_declined,0,seeded_demo_only
synth_0036,4999,unknown,0,seeded_demo_only
synth_0037,1499,insufficient_funds,0,seeded_demo_only
synth_0038,999,card_declined,0,seeded_demo_only
synth_0039,499,bank_timeout,0,seeded_demo_only
synth_0040,7999,network_error,0,seeded_demo_only
synth_0041,12999,otp_expired,0,seeded_demo_only
synth_0042,499,unknown,0,seeded_demo_only
synth_0043,999,unknown,0,seeded_demo_only
synth_0044,499,issuer_unavailable,0,seeded_demo_only
synth_0045,1499,issuer_unavailable,0,seeded_demo_only
synth_0046,7999,unknown,0,seeded_demo_only
synth_0047,1499,network_error,0,seeded_demo_only
synth_0048,1499,otp_expired,0,seeded_demo_only
synth_0049,999,card_declined,0,seeded_demo_only
synth_0050,1499,card_declined,0,seeded_demo_only
synth_0051,7999,card_declined,0,seeded_demo_only
synth_0052,499,insufficient_funds,0,seeded_demo_only
synth_0053,7999,network_error,0,seeded_demo_only
synth_0054,4999,card_declined,0,seeded_demo_only
synth_0055,999,network_error,0,seeded_demo_only
synth_0056,2499,issuer_unavailable,0,seeded_demo_only
synth_0057,1499,card_declined,0,seeded_demo_only
synth_0058,7999,insufficient_funds,0,seeded_demo_only
synth_0059,999,card_declined,0,seeded_demo_only
synth_0060,1499,unknown,0,seeded_demo_only
synth_0061,12999,unknown,0,seeded_demo_only
synth_0062,499,network_error,0,seeded_demo_only
synth_0063,12999,bank_timeout,0,seeded_demo_only
synth_0064,12999,otp_expired,0,seeded_demo_only
synth_0065,2499,otp_expired,0,seeded_demo_only
synth_0066,499,network_error,0,seeded_demo_only
synth_0067,4999,card_declined,0,seeded_demo_only
synth_0068,1499,network_error,0,seeded_demo_only
synth_0069,7999,issuer_unavailable,0,seeded_demo_only
synth_0070,2499,card_declined,0,seeded_demo_only
synth_0071,2499,network_error,0,seeded_demo_only
synth_0072,1499,network_error,0,seeded_demo_only
synth_0073,999,card_declined,0,seeded_demo_only
synth_0074,4999,insufficient_funds,0,seeded_demo_only
synth_0075,1499,card_declined,0,seeded_demo_only
synth_0076,4999,issuer_unavailable,0,seeded_demo_only
synth_0077,4999,issuer_unavailable,0,seeded_demo_only
synth_0078,1499,network_error,0,seeded_demo_only
synth_0079,999,insufficient_funds,0,seeded_demo_only
synth_0080,2499,bank_timeout,0,seeded_demo_only
synth_0081,12999,bank_timeout,0,seeded_demo_only
synth_0082,12999,bank_timeout,0,seeded_demo_only
synth_0083,999,card_declined,0,seeded_demo_only
synth_0084,999,unknown,0,seeded_demo_only
synth_0085,7999,issuer_unavailable,0,seeded_demo_only
synth_0086,4999,bank_timeout,0,seeded_demo_only
synth_0087,2499,issuer_unavailable,0,seeded_demo_only
synth_0088,4999,issuer_unavailable,0,seeded_demo_only
synth_0089,4999,otp_expired,0,seeded_demo_only
synth_0090,4999,unknown,0,seeded_demo_only
synth_0091,499,card_declined,0,seeded_demo_only
synth_0092,7999,bank_timeout,0,seeded_demo_only
synth_0093,7999,insufficient_funds,0,seeded_demo_only
synth_0094,12999,otp_expired,0,seeded_demo_only
synth_0095,12999,card_declined,0,seeded_demo_only
synth_0096,1499,bank_timeout,0,seeded_demo_only
synth_0097,1499,issuer_unavailable,0,seeded_demo_only
synth_0098,999,issuer_unavailable,0,seeded_demo_only
synth_0099,499,card_declined,0,seeded_demo_only
synth_0100,7999,otp_expired,0,seeded_demo_only
synth_0101,4999,unknown,0,seeded_demo_only
synth_0102,999,insufficient_funds,0,seeded_demo_only
synth_0103,499,unknown,0,seeded_demo_only
synth_0104,7999,otp_expired,0,seeded_demo_only
synth_0105,12999,card_declined,0,seeded_demo_only
synth_0106,4999,insufficient_funds,0,seeded_demo_only
synth_0107,999,network_error,0,seeded_demo_only
synth_0108,1499,unknown,0,seeded_demo_only
synth_0109,999,insufficient_funds,0,seeded_demo_only
synth_0110,12999,insufficient_funds,0,seeded_demo_only
synth_0111,499,insufficient_funds,0,seeded_demo_only
synth_0112,1499,issuer_unavailable,0,seeded_demo_only
synth_0113,499,bank_timeout,0,seeded_demo_only
synth_0114,1499,unknown,0,seeded_demo_only
synth_0115,12999,otp_expired,0,seeded_demo_only
synth_0116,999,bank_timeout,0,seeded_demo_only
synth_0117,999,insufficient_funds,0,seeded_demo_only
synth_0118,499,bank_timeout,0,seeded_demo_only
synth_0119,7999,issuer_unavailable,0,seeded_demo_only
synth_0120,12999,bank_timeout,0,seeded_demo_only
synth_0121,12999,insufficient_funds,0,seeded_demo_only
synth_0122,12999,network_error,0,seeded_demo_only
synth_0123,999,card_declined,0,seeded_demo_only
synth_0124,2499,insufficient_funds,0,seeded_demo_only
synth_0125,999,otp_expired,0,seeded_demo_only
synth_0126,4999,unknown,0,seeded_demo_only
synth_0127,4999,issuer_unavailable,0,seeded_demo_only
synth_0128,999,insufficient_funds,0,seeded_demo_only
synth_0129,12999,card_declined,0,seeded_demo_only
synth_0130,7999,network_error,0,seeded_demo_only
synth_0131,7999,otp_expired,0,seeded_demo_only
synth_0132,2499,card_declined,0,seeded_demo_only
synth_0133,7999,otp_expired,0,seeded_demo_only
synth_0134,2499,insufficient_funds,0,seeded_demo_only
synth_0135,2499,bank_timeout,0,seeded_demo_only
synth_0136,999,network_error,0,seeded_demo_only
synth_0137,499,otp_expired,0,seeded_demo_only
synth_0138,499,insufficient_funds,0,seeded_demo_only
synth_0139,4999,network_error,0,seeded_demo_only
synth_0140,4999,network_error,0,seeded_demo_only
synth_0141,499,bank_timeout,0,seeded_demo_only
synth_0142,7999,card_declined,0,seeded_demo_only
synth_0143,499,network_error,0,seeded_demo_only
synth_0144,499,bank_timeout,0,seeded_demo_only
synth_0145,12999,otp_expired,0,seeded_demo_only
synth_0146,499,insufficient_funds,0,seeded_demo_only
synth_0147,999,otp_expired,0,seeded_demo_only
synth_0148,7999,issuer_unavailable,0,seeded_demo_only
synth_0149,999,insufficient_funds,0,seeded_demo_only
synth_0150,999,card_declined,0,seeded_demo_only
synth_0151,4999,insufficient_funds,0,seeded_demo_only
synth_0152,2499,network_error,0,seeded_demo_only
synth_0153,12999,issuer_unavailable,0,seeded_demo_only
synth_0154,12999,issuer_unavailable,0,seeded_demo_only
synth_0155,999,bank_timeout,0,seeded_demo_only
synth_0156,499,card_declined,0,seeded_demo_only
synth_0157,2499,otp_expired,0,seeded_demo_only
synth_0158,2499,issuer_unavailable,0,seeded_demo_only
synth_0159,2499,unknown,0,seeded_demo_only
synth_0160,7999,bank_timeout,0,seeded_demo_only
synth_0161,7999,card_declined,0,seeded_demo_only
synth_0162,7999,bank_timeout,0,seeded_demo_only
synth_0163,499,issuer_unavailable,0,seeded_demo_only
synth_0164,7999,otp_expired,0,seeded_demo_only
synth_0165,12999,unknown,0,seeded_demo_only
synth_0166,499,network_error,0,seeded_demo_only
synth_0167,999,network_error,0,seeded_demo_only
synth_0168,4999,issuer_unavailable,0,seeded_demo_only
synth_0169,999,issuer_unavailable,0,seeded_demo_only
synth_0170,999,otp_expired,0,seeded_demo_only
synth_0171,2499,network_error,0,seeded_demo_only
synth_0172,12999,bank_timeout,0,seeded_demo_only
synth_0173,2499,unknown,0,seeded_demo_only
synth_0174,12999,unknown,0,seeded_demo_only
synth_0175,4999,bank_timeout,0,seeded_demo_only
synth_0176,499,card_declined,0,seeded_demo_only
synth_0177,4999,unknown,0,seeded_demo_only
synth_0178,499,bank_timeout,0,seeded_demo_only
synth_0179,12999,unknown,0,seeded_demo_only
synth_0180,999,network_error,0,seeded_demo_only
synth_0181,2499,issuer_unavailable,0,seeded_demo_only
synth_0182,2499,network_error,0,seeded_demo_only
synth_0183,12999,issuer_unavailable,0,seeded_demo_only
synth_0184,499,network_error,0,seeded_demo_only
synth_0185,2499,bank_timeout,0,seeded_demo_only
synth_0186,2499,otp_expired,0,seeded_demo_only
synth_0187,12999,unknown,0,seeded_demo_only
synth_0188,2499,otp_expired,0,seeded_demo_only
synth_0189,2499,card_declined,0,seeded_demo_only
synth_0190,7999,unknown,0,seeded_demo_only
synth_0191,4999,card_declined,0,seeded_demo_only
synth_0192,7999,issuer_unavailable,0,seeded_demo_only
synth_0193,999,network_error,0,seeded_demo_only
synth_0194,1499,network_error,0,seeded_demo_only
synth_0195,499,insufficient_funds,0,seeded_demo_only
synth_0196,7999,insufficient_funds,0,seeded_demo_only
synth_0197,499,card_declined,0,seeded_demo_only
synth_0198,1499,bank_timeout,0,seeded_demo_only
synth_0199,499,insufficient_funds,0,seeded_demo_only
synth_0200,2499,insufficient_funds,0,seeded_demo_only
synth_0201,12999,insufficient_funds,0,seeded_demo_only
synth_0202,999,bank_timeout,0,seeded_demo_only
synth_0203,4999,bank_timeout,0,seeded_demo_only
synth_0204,12999,network_error,0,seeded_demo_only
synth_0205,499,insufficient_funds,0,seeded_demo_only
synth_0206,499,card_declined,0,seeded_demo_only
synth_0207,12999,network_error,0,seeded_demo_only
synth_0208,2499,bank_timeout,0,seeded_demo_only
synth_0209,4999,network_error,0,seeded_demo_only
synth_0210,4999,insufficient_funds,0,seeded_demo_only
synth_0211,499,insufficient_funds,0,seeded_demo_only
synth_0212,499,issuer_unavailable,0,seeded_demo_only
synth_0213,7999,insufficient_funds,0,seeded_demo_only
synth_0214,4999,insufficient_funds,0,seeded_demo_only
synth_0215,1499,otp_expired,0,seeded_demo_only
synth_0216,999,card_declined,0,seeded_demo_only
synth_0217,7999,otp_expired,0,seeded_demo_only
synth_0218,999,otp_expired,0,seeded_demo_only
synth_0219,2499,network_error,0,seeded_demo_only
synth_0220,7999,card_declined,0,seeded_demo_only
synth_0221,1499,issuer_unavailable,0,seeded_demo_only
synth_0222,1499,unknown,0,seeded_demo_only
synth_0223,499,bank_timeout,0,seeded_demo_only
synth_0224,2499,insufficient_funds,0,seeded_demo_only
synth_0225,4999,bank_timeout,0,seeded_demo_only
synth_0226,499,insufficient_funds,0,seeded_demo_only
synth_0227,999,insufficient_funds,0,seeded_demo_only
synth_0228,1499,network_error,0,seeded_demo_only
synth_0229,1499,bank_timeout,0,seeded_demo_only
synth_0230,999,otp_expired,0,seeded_demo_only
synth_0231,1499,network_error,0,seeded_demo_only
synth_0232,2499,unknown,0,seeded_demo_only
synth_0233,4999,card_declined,0,seeded_demo_only
synth_0234,1499,insufficient_funds,0,seeded_demo_only
synth_0235,12999,card_declined,0,seeded_demo_only
synth_0236,4999,bank_timeout,0,seeded_demo_only
synth_0237,7999,unknown,0,seeded_demo_only
synth_0238,4999,otp_expired,0,seeded_demo_only
synth_0239,7999,bank_timeout,0,seeded_demo_only
synth_0240,999,otp_expired,0,seeded_demo_only
synth_0241,499,bank_timeout,0,seeded_demo_only
synth_0242,7999,insufficient_funds,0,seeded_demo_only
synth_0243,999,otp_expired,0,seeded_demo_only
synth_0244,1499,insufficient_funds,0,seeded_demo_only
synth_0245,999,card_declined,0,seeded_demo_only
synth_0246,1499,network_error,0,seeded_demo_only
synth_0247,7999,card_declined,0,seeded_demo_only
synth_0248,12999,otp_expired,0,seeded_demo_only
synth_0249,4999,issuer_unavailable,0,seeded_demo_only
synth_0250,1499,unknown,0,seeded_demo_only
